license_plate,status,platform,created_at,shipped_at,sold_price,country,channel_ref,platform_fee
BW221109141655,shipped,Bol,2021-09-24T12:04:52,2021-09-24T15:35:57,14.28,NETHERLANDS,U2YV-EV6V-NVV1,3.07
BW221109141634,shipped,Ebay,2021-09-23T23:19:33,2021-09-24T11:56:17,76.02,NETHERLANDS,MWH4-4KYP-MUYU,7.29
BW221109141620,shipped,Bva NL,2022-03-15T12:38:14,2022-03-15T15:28:09,23.77,NETHERLANDS,8K24-MTVV-TBGR,
BW221109141578,shipped,Bol,2021-11-25T13:25:45,2021-11-25T15:51:06,53.39,NETHERLANDS,FBB1-3YR8-MWKN,10.69
BW221109141546,shipped,Ebay,2021-07-12T12:19:35,2021-07-12T15:11:09,31.13,GERMANY,N90X-9KML-B85W,2.73
BW221109141484,shipped,Bol,2021-09-06T17:18:48,2021-09-07T09:15:45,22.73,BELGIUM,ELRB-80PD-XM99,2.93
BW221109141479,shipped,Bol,2021-07-12T11:46:55,2021-07-12T15:10:52,49.02,NETHERLANDS,MYRK-BPYN-W2H8,4.56
BW221109141422,shipped,Bol,2021-07-09T10:04:59,2021-07-09T13:40:34,96.6,BELGIUM,XPLB-F3BC-1A9T,18.53
BW221109141365,shipped,Bva NL,2021-06-23T07:45:10,2021-06-23T11:42:29,24.57,NETHERLANDS,312bd38f-dd9a-48d2-d6d6-08d934e2da9a,
BW221109141251,shipped,Bol,2021-09-12T19:11:51,2021-09-13T11:20:34,61.07,NETHERLANDS,DGXD-8J1P-17TH,6.17
BW221109141249,cancelled,Bol,2021-12-16T19:04:50,,78.62,,A5WN-KEDQ-PXTT,6.71
BW221109141232,shipped,Bva NL,2022-01-11T18:40:19,2022-01-12T14:09:14,35.1,NETHERLANDS,01e6974c-04a9-409b-d98e-08d9d4f1581d,
BW221109141050,shipped,Bol,2022-01-11T18:11:43,2022-01-12T15:27:03,117.69,NETHERLANDS,CN7N-A7CL-EHQ0,10.97
BW221109141033,shipped,Bol,2021-08-23T14:25:47,2021-08-23T16:30:42,135.84,NETHERLANDS,LTBE-9JR5-308X,25.66
BW221109140972,shipped,Bol,2022-03-01T19:53:49,2022-03-02T17:11:57,211.23,NETHERLANDS,VHA2-UB2P-LD8V,18.34
BW221109140873,shipped,Bol,2021-09-21T20:39:49,2021-09-22T16:11:04,27.53,NETHERLANDS,61H9-58J7-F1UW,6
BW221109140833,shipped,Bol,2021-06-22T19:05:20,2021-06-23T12:00:20,74.38,NETHERLANDS,RJXC-CDNW-26TJ,7.3
BW221109140781,shipped,Bol,2021-12-25T13:04:50,2021-12-27T14:41:16,64.77,NETHERLANDS,1VMP-4BRL-WLKB,7.7
BW221109140780,shipped,Bol,2021-12-24T15:32:48,2021-12-27T14:41:22,89.32,NETHERLANDS,7T1P-AQH7-YTA1,8.57
BW221109140764,shipped,Bol,2021-11-17T17:46:44,2021-11-17T19:05:59,106.58,BELGIUM,9504-DG1P-N8NJ,20.34
BW221109140744,shipped,Bol,2022-04-18T14:18:44,2022-04-18T19:05:01,63.07,NETHERLANDS,V4TK-RXWX-4J7K,10.23
BW221109140446,cancelled,Bol,2022-08-31T12:39:46,,64.39,,7UHU-TU4X-UNG6,5.71
BW221109140399,shipped,Bol,2021-06-24T11:27:17,2021-06-24T20:21:40,103.31,BELGIUM,NQGM-L7F6-91T1,16
BW221109140363,shipped,Bol,2021-06-24T08:06:18,2021-06-24T20:27:34,70.14,NETHERLANDS,2BLW-RTAV-3KGU,5.24
BW221109140307,shipped,Bol,2021-07-14T15:25:54,2021-07-14T19:57:16,30.19,NETHERLANDS,YY2A-LD6J-LULU,3.19
BW221109140294,shipped,Bol,2021-06-24T05:26:24,2021-06-24T20:21:59,49.96,NETHERLANDS,PYKN-RQ1C-1CB4,4.63
BW221109140226,shipped,Bol,2021-06-23T19:26:09,2021-06-24T20:26:02,28.98,BELGIUM,PD79-KU0A-9AXM,5.24
BW221109140183,shipped,Amazon,2021-11-09T17:15:02,2021-11-09T19:21:09,56.66,BELGIUM,AAPJ-3DT8-GM10,10.28
BW221109140117,shipped,Bol,2021-11-09T16:39:45,2021-11-09T19:25:49,45.61,NETHERLANDS,L049-UGKB-2RV9,4.31
BW221109140103,shipped,Bva NL,2021-07-14T05:38:03,2021-07-14T19:57:26,81.9,NETHERLANDS,f4fcf627-e1c2-481d-f4d2-08d945c798e2,
BW221109140021,shipped,Bva NL,2022-04-18T12:31:01,2022-04-18T19:05:00,70.2,NETHERLANDS,365f960d-dd31-4d92-60f9-08da1eb92548,
BW221109139995,shipped,Bva NL,2021-11-01T06:59:00,2021-11-01T18:00:45,35.1,NETHERLANDS,a27962b5-defa-4008-d399-08d99c161222,
BW221109139989,shipped,Bva NL,2021-09-09T21:45:10,2021-09-10T10:55:48,26.91,NETHERLANDS,a2896076-cf38-47f1-4a8a-08d96ca49dde,
BW221109139949,shipped,Bol,2021-10-13T14:32:47,2021-10-13T20:15:47,41.26,NETHERLANDS,3673-C6FD-0200,6
BW221109139932,shipped,Amazon,2022-03-24T11:44:54,2022-03-24T14:44:58,119.88,FRANCE,RD2D-Q5JL-T0G2,22.69
BW221109139916,cancelled,Amazon,2022-06-23T06:15:11,,79.4,,XBCP-EG1C-CMET,
BW221109139879,shipped,Bva NL,2022-05-03T20:10:01,2022-05-04T15:28:28,33.93,BELGIUM,2f3e7ed8-4bcf-4004-777f-08da28f7bfb9,
BW221109139876,shipped,Bol,2022-06-30T15:11:43,2022-06-30T19:55:56,12.61,NETHERLANDS,F9H0-Q11L-LN49,2.77
BW221109139850,shipped,Bol,2021-10-04T20:25:51,2021-10-05T12:30:51,45.22,NETHERLANDS,LDU0-2F44-XG0W,9.21
BW221109139847,shipped,Bol,2022-04-12T15:18:45,2022-04-12T17:52:46,61.12,NETHERLANDS,J33R-7395-L3DW,6.18
BW221109139839,shipped,Bol,2022-10-10T19:39:49,2022-10-11T20:25:53,77.74,NETHERLANDS,NB6C-L7E5-JNA6,10.11
BW221109139682,shipped,Bol,2022-08-08T07:53:48,2022-08-08T19:23:31,261.16,NETHERLANDS,6P7E-1YEK-YB7P,38.92
BW221109139630,shipped,Amazon,2021-10-01T07:43:04,2021-10-01T15:55:41,261.85,GERMANY,YBVV-CFP6-KDJJ,47.19
BW221109139562,shipped,Bol,2022-03-25T13:53:48,2022-03-25T20:55:37,24.59,NETHERLANDS,VA7M-K5JD-VPGE,2.79
BW221109139550,shipped,Bol,2022-03-25T08:11:51,2022-03-25T20:55:12,35.29,NETHERLANDS,7EQ4-RYMA-7TPX,3.07
BW221109139470,shipped,Bol,2022-06-06T10:46:43,2022-06-06T13:38:48,137.26,BELGIUM,2AVJ-8FLG-E4HR,17.08
BW221109139457,shipped,Bva NL,2022-05-12T14:26:34,2022-05-12T17:16:03,157.95,NETHERLANDS,c2684324-d0a1-45f8-9a39-08da31eccf14,
BW221109139452,shipped,Bol,2021-09-02T10:32:51,2021-09-02T15:50:40,22.51,NETHERLANDS,6X8Q-VFHA-0JQJ,5.09
BW221109139394,shipped,Amazon,2022-06-05T19:15:19,2022-06-06T14:02:31,32.53,FRANCE,4K3J-6C5V-7K53,6.49
BW221109139331,shipped,Bol,2022-06-05T16:18:43,2022-06-06T13:36:55,278.4,NETHERLANDS,CY77-D6CX-DVBM,21.21
BW221109139264,shipped,Amazon,2022-03-05T14:30:04,2022-03-06T21:17:41,162.02,AUSTRIA,V1VT-6EHG-CU68,22.79
BW221109139248,shipped,Bol,2021-11-30T05:46:47,2021-11-30T15:15:53,147.11,NETHERLANDS,DR87-07E8-9UTX,11.9
BW221109139190,shipped,Ebay,2022-05-05T17:34:39,2022-05-06T14:22:44,561.4,FRANCE,K4TR-YY6N-M5WA,61.08
BW221109139090,shipped,Bol,2021-10-17T09:11:47,2021-10-17T15:55:47,48.98,NETHERLANDS,UGG0-VQ1A-7XWK,4.56
BW221109139081,shipped,Bol,2021-11-23T19:11:45,2021-11-24T13:26:07,129.18,NETHERLANDS,TPKP-W51A-YN4C,11.94
BW221109139031,shipped,Bol,2022-06-04T07:25:48,2022-06-06T13:37:07,48.61,NETHERLANDS,XAJA-3V6R-67XV,0.11
BW221109139027,shipped,Bva NL,2022-04-06T06:17:01,2022-04-06T12:06:43,15.21,NETHERLANDS,82be33bb-599e-4296-74d3-08da173b9e39,
BW221109138967,shipped,Bva NL,2021-08-24T07:45:14,2021-08-24T15:20:52,10.53,NETHERLANDS,a911c621-2b57-4a68-5a47-08d9645da332,
BW221109138915,shipped,Bol,2022-01-14T16:46:46,2022-01-14T20:45:13,94.57,NETHERLANDS,9MQN-4F4D-N8FB,7.87
BW221109138858,shipped,Bva NL,2021-11-15T02:17:04,2021-11-15T10:30:51,115.83,NETHERLANDS,f25b5d87-5837-4dd3-f0b2-08d9a1725281,
BW221109138788,shipped,Bol,2022-10-05T19:39:49,2022-10-06T19:28:49,124.37,BELGIUM,YJ9J-J8MN-LPG9,11.53
BW221109138785,shipped,Ebay,2021-07-13T06:26:40,2021-07-13T13:17:47,89.61,GERMANY,3AHU-4FLW-V6WE,13.4
BW221109138770,shipped,Bol,2021-11-14T09:46:44,2021-11-15T10:36:45,19.06,NETHERLANDS,NUNN-B5D3-QWDE,2.38
BW221109138763,shipped,Bol,2022-10-06T10:25:46,2022-10-06T19:22:54,99.66,NETHERLANDS,LKB5-TV0E-0UGT,19.09
BW221109138694,shipped,Bva NL,2022-09-05T10:17:01,2022-09-05T18:42:47,214.11,NETHERLANDS,aedcd0f2-bc5d-41a4-c93e-08da8cb16e75,
BW221109138598,shipped,Bol,2022-09-04T12:11:45,2022-09-05T18:43:12,73.21,NETHERLANDS,XWBP-FRYG-5YDD,14.52
BW221109138514,shipped,Bol,2021-06-27T08:06:09,2021-06-27T20:26:41,115.29,NETHERLANDS,WJQQ-WL0F-1E99,21.93
BW221109138498,shipped,Bol,2021-11-24T15:32:49,2021-11-24T21:02:08,73.85,NETHERLANDS,CCP3-BBN2-LJYN,7.26
BW221109138405,shipped,Bol,2022-08-26T09:11:48,2022-08-26T16:53:22,122.07,BELGIUM,URUU-FHF3-3Q9N,11.86
BW221109138390,shipped,Bol,2022-08-26T14:46:44,2022-08-26T17:13:18,113.45,NETHERLANDS,XW0C-4EQE-XVX8,9.24
BW221109138384,shipped,Bol,2021-06-27T07:54:24,2021-06-27T20:26:40,31.42,BELGIUM,9559-C7WF-C148,6.7
BW221109138370,shipped,Kaufland,2022-04-17T07:54:45,2022-04-18T16:12:34,128.13,GERMANY,02XE-00CV-Q3HL,11.16
BW221109138330,shipped,Bol,2021-07-01T09:26:41,2021-07-01T13:51:37,32.38,NETHERLANDS,6QVP-38GU-V42B,5.35
BW221109138319,shipped,Bol,2021-06-27T01:05:19,2021-06-27T20:17:26,124.79,BELGIUM,TB1R-3TET-AH6T,10.55
BW221109138230,shipped,Ebay,2021-06-26T14:27:13,2021-06-27T19:12:09,56.24,GERMANY,F47K-G17M-B9Q5,6.52
BW221109138219,shipped,Bol,2021-06-28T14:41:15,2021-06-28T20:16:10,122.83,BELGIUM,3E81-EDQ9-U8X2,11.4
BW221109138212,shipped,Bol,2021-06-26T07:20:28,2021-06-27T20:28:51,62.93,NETHERLANDS,VFAT-1EJA-A848,10.14
BW221109138152,shipped,Bva NL,2021-06-28T11:10:18,2021-06-28T20:21:09,17.55,NETHERLANDS,fa2793e1-2f1c-4161-9dcf-08d937ad431c,
BW221109138139,shipped,Bol,2021-06-26T06:33:12,2021-06-27T20:28:45,68.95,NETHERLANDS,ABK2-BJJ7-P3L3,8.01
BW221109138084,shipped,Bva NL,2021-06-28T04:38:02,2021-06-28T20:20:59,17.55,NETHERLANDS,67daf01c-bd5d-40f4-9cbe-08d937ad431c,
BW221109138063,shipped,Ebay,2021-06-25T21:34:05,2021-06-27T19:10:47,35.44,FRANCE,BY4F-DA78-YCJN,3.09
BW221109138005,shipped,Bol,2021-06-25T19:40:34,2021-06-27T20:16:05,39.31,BELGIUM,3W54-4GEB-5VHN,3.85
BW221109137997,shipped,Bva NL,2021-07-22T06:24:06,2021-07-22T20:05:37,35.1,NETHERLANDS,60835017-ef1e-426b-477f-08d94c8dce91,
BW221109137970,cancelled,Amazon,2021-06-12T17:50:25,,258.31,,GL50-DD51-WEJL,
BW221109137903,shipped,Bva NL,2021-09-02T08:59:06,2021-09-02T11:05:54,113.49,NETHERLANDS,099f1314-a8c2-46bf-55c9-08d96ca55c42,
BW221109137849,shipped,Ebay,2021-07-22T08:55:15,2021-07-22T20:00:55,247.34,GERMANY,DRML-NPTL-PHTU,17.51
BW221109137826,shipped,Bol,2022-04-18T21:18:48,2022-04-19T20:08:13,110.69,NETHERLANDS,33LM-JJ8D-GJDH,11.04
BW221109137746,shipped,Bol,2021-09-15T07:25:47,2021-09-15T16:05:44,227.51,NETHERLANDS,8X2U-N9R1-HH7C,19.52
BW221109137743,shipped,Amazon,2021-09-13T21:36:26,2021-09-14T12:30:55,51.62,FRANCE,WNJ1-W302-9DTC,9.57
BW221109137485,shipped,Bol,2021-07-22T10:04:50,2021-07-22T20:01:07,35.77,NETHERLANDS,4GNB-43VT-RUAQ,4.25
BW221109137388,shipped,Bol,2022-04-19T11:11:45,2022-04-19T19:37:26,49.17,BELGIUM,89CA-3B7D-A20E,6.57
BW221109137376,shipped,Bva NL,2021-09-02T06:38:09,2021-09-02T11:35:43,12.87,NETHERLANDS,f41f0685-935d-4749-cf60-08d96ca6598d,
BW221109137367,shipped,Kaufland,2022-05-16T16:18:46,2022-05-16T18:41:48,161.74,GERMANY,KBHR-M0JL-W114,13.82
BW221109137315,shipped,Bol,2022-04-19T15:25:51,2022-04-19T19:50:21,28.5,BELGIUM,1M3U-JQYT-4CG7,3.07
BW221109137189,shipped,Bol,2022-02-19T12:46:41,2022-02-20T16:26:20,29.27,BELGIUM,9V4B-0JP9-Y50T,6.31
BW221109137128,shipped,Bol,2022-02-19T11:32:50,2022-02-20T17:02:51,30.83,BELGIUM,JK7P-21FV-427R,6.6
BW221109137090,shipped,Bol,2022-02-18T22:11:55,2022-02-20T16:17:39,118.6,NETHERLANDS,WXAM-JC3J-9BT5,17.35
BW221109137005,shipped,Bol,2021-10-06T13:25:55,2021-10-06T20:21:22,71.6,NETHERLANDS,559T-N0G7-0M3P,7.06
BW221109136999,shipped,Bol,2021-09-07T17:53:51,2021-09-08T12:16:11,4.51,NETHERLANDS,UQ1D-MTJJ-V0KE,1.06
BW221109136994,shipped,Bol,2021-09-10T14:32:49,2021-09-10T16:20:31,46.64,NETHERLANDS,5UY1-H55N-ET3T,10.03
BW221109136923,shipped,Bol,2021-11-09T12:25:43,2021-11-09T17:21:19,36.82,BELGIUM,MR8C-8787-2B5X,7.68
BW221109136922,shipped,Bol,2021-09-06T20:12:34,2021-09-07T10:50:30,47.07,NETHERLANDS,0RWG-UB2P-KTNM,4.42
BW221109136919,shipped,Bva NL,2021-11-08T01:38:00,2021-11-09T17:16:05,257.4,NETHERLANDS,16e6aeeb-8d17-49c9-dcc0-08d9a1725281,
BW221109136912,shipped,Bol,2021-06-28T05:33:47,2021-06-28T13:05:33,15.36,BELGIUM,4VEE-76UJ-LVUN,1.59
BW221109136891,shipped,Amazon,2021-11-11T12:29:04,2021-11-11T17:21:11,84.2,GERMANY,JDQK-HFPD-29G3,7.22
BW221109136880,shipped,Bol,2021-09-03T13:18:43,2021-09-03T19:31:14,92.66,NETHERLANDS,C8B8-KW6P-Q71J,7.73
BW221109136866,shipped,Bol,2021-12-21T17:04:42,2021-12-21T19:30:58,94.77,BELGIUM,JDB6-VN9B-TLUM,15.91
BW221109136807,shipped,Bol,2022-03-02T16:18:42,2022-03-02T20:32:29,93.57,NETHERLANDS,GR30-DCX7-PA7X,7.85
BW221109136788,shipped,Bol,2022-04-22T16:11:41,2022-04-22T19:09:13,82.22,NETHERLANDS,RWY5-1B85-91V3,13.04
BW221109136767,shipped,Amazon,2021-08-07T18:29:14,2021-08-08T15:10:40,32.24,GERMANY,DNV1-V1JQ-GCJ1,6.21
BW221109136711,shipped,Amazon,2022-04-22T14:15:08,2022-04-22T19:09:13,75.81,GERMANY,6BD9-WG23-YBWE,6.52
BW221109136688,shipped,Bol,2021-09-03T14:46:45,2021-09-03T19:31:02,149.1,NETHERLANDS,4T92-7GHC-UN6U,13.82
BW221109136661,shipped,Bol,2021-10-04T07:11:56,2021-10-04T13:06:26,92.11,NETHERLANDS,3LFW-78GE-W52K,8.8
BW221109136592,shipped,Bol,2021-11-23T18:04:51,2021-11-23T20:41:02,63.49,BELGIUM,6VGR-DV02-NH6J,5.61
BW221109136556,cancelled,Bol,2021-10-15T23:11:42,,29.27,,NB7D-5428-F70P,3.13
BW221109136546,shipped,Bol,2021-06-29T17:20:18,2021-06-29T19:06:31,93.58,BELGIUM,GCGE-BN9C-FK8B,9.79
BW221109136368,shipped,Bol,2021-12-27T21:46:47,2021-12-28T21:17:23,39.56,NETHERLANDS,JWD2-FLFW-R7U2,4.35
BW221109136298,shipped,Bol,2021-10-12T12:39:43,2021-10-12T14:21:04,493.29,BELGIUM,GJ3N-U29E-NNT9,38.81
BW221109136274,shipped,Bol,2021-06-29T16:27:20,2021-06-29T19:06:09,69.95,NETHERLANDS,NRNF-Q33W-H0KB,13.7
BW221109136268,shipped,Bol,2021-06-29T14:04:42,2021-06-29T19:05:57,7.14,NETHERLANDS,T4XE-52DC-AFJ0,1.54
BW221109136200,cancelled,Bol,2021-12-27T12:32:48,,578.28,,YJY9-DDYU-WWGQ,28.4
BW221109136069,shipped,Bol,2021-06-29T13:54:44,2021-06-29T19:55:53,64.53,BELGIUM,Q6WB-V3YD-NCFR,5.68
BW221109136038,shipped,Bol,2021-09-30T21:04:48,2021-10-01T13:16:48,31,NETHERLANDS,ABN5-46F8-G8KK,6.63
BW221109136028,shipped,Bol,2021-06-29T12:07:05,2021-06-29T19:05:36,60.02,NETHERLANDS,6X0G-NVLG-UC5N,11.89
BW221109136020,shipped,Bol,2021-11-12T17:04:44,2021-11-12T20:46:53,49.41,BELGIUM,94H2-11TK-F8YB,6.59
BW221109135989,shipped,Bol,2021-10-26T17:11:42,2021-10-26T19:31:54,82.45,BELGIUM,NF2N-LU87-KJFH,6.99
BW221109135799,shipped,Bol,2021-11-23T14:11:48,2021-11-23T20:41:40,31.98,NETHERLANDS,RPR9-QB91-L3EX,3.32
BW221109135756,shipped,Bol,2021-06-28T20:54:14,2021-06-29T19:40:37,151.66,NETHERLANDS,3G77-4G74-UMAC,13.85
BW221109135749,shipped,Bol,2022-07-29T17:04:43,2022-07-31T15:50:40,50.55,NETHERLANDS,XEJQ-KAWT-QG46,7.12
BW221109135736,shipped,Bol,2021-07-18T14:04:45,2021-07-18T20:23:22,51.08,NETHERLANDS,Y46V-9470-JF9U,10.27
BW221109135686,shipped,Bol,2021-07-18T11:11:48,2021-07-18T20:15:13,46.9,BELGIUM,E8KR-0H1X-XUG6,9.51
BW221109135657,shipped,Bol,2021-07-05T11:53:53,2021-07-05T20:18:53,53.75,NETHERLANDS,A1CN-K7NQ-FJYF,4.9
BW221109135567,shipped,Bva NL,2021-07-05T05:31:04,2021-07-05T20:18:10,23.4,NETHERLANDS,69425555-e0ac-4072-40cf-08d93ddaf1e8,
BW221109135494,shipped,Bva NL,2021-07-05T05:31:04,2021-07-05T20:18:11,46.8,BELGIUM,0ea3af73-e855-4792-1eff-08d93c6a0340,
BW221109135485,shipped,Bol,2021-07-04T21:53:56,2021-07-05T20:17:50,106.88,NETHERLANDS,7W5N-BT5N-15TA,20.4
BW221109135465,shipped,Bol,2021-07-25T17:32:52,2021-07-26T08:31:03,47.95,NETHERLANDS,DE4B-54QX-915B,4.48
BW221109135428,shipped,Bol,2022-04-24T17:25:48,2022-04-25T11:33:25,149.3,NETHERLANDS,7P62-4CN5-4PYE,12.03
BW221109135416,shipped,Bol,2022-04-24T17:04:45,2022-04-25T11:34:35,93.48,NETHERLANDS,924D-KD7X-6ARJ,7.79
BW221109135357,shipped,Bol,2021-07-17T20:04:52,2021-07-18T20:13:51,95.83,BELGIUM,UTTE-1G54-8V36,18.39
BW221109135346,shipped,Bol,2021-07-17T19:39:48,2021-07-18T20:22:13,30.07,NETHERLANDS,LW31-FCQA-UG33,6.46
BW221109135308,shipped,Bol,2021-07-17T14:18:59,2021-07-18T20:21:12,34.81,NETHERLANDS,YF7M-1EWM-XNJ6,4.16
BW221109135280,shipped,Bol,2021-12-13T15:25:49,2021-12-13T21:16:23,101.47,NETHERLANDS,EV4J-J9WJ-9M6L,10.37
BW221109135278,shipped,Bol,2021-12-12T22:04:43,2021-12-13T21:16:26,214.5,NETHERLANDS,GEAF-71G5-TL3V,39.93
BW221109135225,shipped,Bol,2021-07-17T06:32:58,2021-07-18T20:20:26,34.58,NETHERLANDS,WPRU-A5FG-JGGN,3.51
BW221109135209,cancelled,Bol,2021-07-07T05:25:48,,69.99,,MG0K-XVDE-QGNQ,6.93
BW221109135187,shipped,Bol,2022-02-23T19:53:48,2022-02-24T17:32:00,139.93,NETHERLANDS,W3TL-RBU8-CW8H,12.85
BW221109135119,shipped,Bol,2021-09-30T21:18:48,2021-10-01T13:10:42,44.86,,1E0F-PRMB-LBR7,9.14
BW221109135067,shipped,Bol,2021-11-11T17:25:53,2021-11-11T20:15:56,140.53,NETHERLANDS,1M4V-GHDM-HPJD,11.2
BW221109135022,shipped,Bol,2021-07-21T11:46:46,2021-07-21T15:51:01,37.8,NETHERLANDS,DA3U-JDGK-VG2N,7.86
BW221109134991,shipped,Bva NL,2022-02-08T15:10:01,2022-02-08T18:46:46,31.59,NETHERLANDS,1f44c907-b107-4a7b-0974-08d9e8984060,
BW221109134978,shipped,Bol,2021-11-23T19:39:49,2021-11-24T11:55:50,57.8,NETHERLANDS,MEJX-GMLB-3GN7,10.09
BW221109134910,shipped,Bol,2022-02-08T11:32:51,2022-02-08T18:12:13,224.52,NETHERLANDS,VYW8-4FGR-1B16,19.3
BW221109134894,shipped,Bol,2021-10-29T13:25:44,2021-10-29T18:07:24,45.83,BELGIUM,L6GB-80B1-D2AN,9.32
BW221109134833,shipped,Bva NL,2021-09-06T07:31:05,2021-09-06T14:50:33,631.8,BELGIUM,4080c81a-ff7f-498b-ec2f-08d96ca4941c,
BW221109134779,shipped,Bol,2021-10-29T16:39:44,2021-10-29T18:06:52,133.88,NETHERLANDS,VXD4-KAUQ-83NF,12.34
BW221109134769,shipped,Bol,2021-11-11T13:46:42,2021-11-11T20:06:08,26.86,NETHERLANDS,6GUR-QW1R-8UAR,3.44
BW221109134747,shipped,Ebay,2021-11-23T18:26:41,2021-11-24T11:55:47,167.36,GERMANY,570Q-P4XQ-E1VA,21.67
BW221109134717,cancelled,Bol,2022-02-03T15:25:45,,121.27,,WBF6-QQE5-Q1VQ,11.8
BW221109134702,shipped,Ebay,2022-03-16T20:58:25,2022-03-17T19:52:56,159.46,GERMANY,QLDD-DT83-F4GD,21.42
BW221109134700,shipped,Bol,2022-05-24T10:04:46,2022-05-24T13:41:51,42.17,NETHERLANDS,B7K8-75TW-VVNN,8.65
BW221109134689,shipped,Bol,2021-12-14T21:39:42,2021-12-15T18:21:05,39.98,NETHERLANDS,QG0H-2TVL-41CB,3.9
BW221109134575,shipped,Bol,2021-12-25T16:11:43,2021-12-27T17:17:08,46.48,NETHERLANDS,G89Q-MWFA-0P73,4.94
BW221109134546,shipped,Bol,2021-11-24T13:04:46,2021-11-24T17:00:45,46.05,BELGIUM,4JFB-PDJV-YQYF,4.34
BW221109134531,shipped,Bol,2022-08-31T08:46:47,2022-08-31T14:01:38,111.73,BELGIUM,7KVA-78JG-ET2R,10.46
BW221109134517,shipped,Bol,2021-09-22T17:04:50,2021-09-22T18:15:31,80.91,NETHERLANDS,C17T-032D-9RWT,6.87
BW221109134513,shipped,Bol,2021-09-22T12:04:50,2021-09-22T18:11:34,51.38,NETHERLANDS,LKXQ-5UFQ-4EA8,6.73
BW221109134502,shipped,Bol,2022-08-31T08:25:43,2022-08-31T13:52:22,171.3,NETHERLANDS,XAH9-CGVX-YLKL,13.44
BW221109134401,shipped,Bva NL,2022-07-06T22:31:05,2022-07-07T18:45:50,54.99,NETHERLANDS,d43c0d71-b9f3-4f2b-8fcb-08da5f25241a,
BW221109134385,shipped,Bva NL,2021-09-15T08:24:06,2021-09-15T13:36:19,18.72,NETHERLANDS,83a2890e-208b-46bb-5862-08d96ca49dde,
BW221109134348,shipped,Bol,2022-08-02T09:04:52,2022-08-02T16:14:43,85.55,NETHERLANDS,9CK1-CFYE-8X1B,16.53
BW221109134227,shipped,Bol,2022-03-17T20:25:48,2022-03-18T14:30:27,89.17,BELGIUM,491C-CPFT-43T1,8.55
BW221109134119,shipped,Bol,2022-07-18T17:18:46,2022-07-18T19:22:20,65.88,NETHERLANDS,44GR-BV4V-0QCU,12.96
BW221109134088,shipped,Bol,2022-07-11T21:39:45,2022-07-12T13:17:54,36.78,NETHERLANDS,G1AG-WQ86-P1AH,1.67
BW221109134072,cancelled,Bol,2021-07-19T17:39:45,,59.73,,JCPX-PUXU-7R1L,6.42
BW221109134021,shipped,Bol,2021-07-20T11:32:45,2021-07-20T13:35:43,198.93,NETHERLANDS,6Y26-L4C8-9NVX,17.44
BW221109134011,shipped,Bol,2022-07-18T16:32:44,2022-07-18T19:20:40,198.4,NETHERLANDS,7QG0-B8G1-QHK9,37.01
BW221109133991,shipped,Bol,2021-11-18T17:11:43,2021-11-18T19:20:47,25.06,NETHERLANDS,V8Q0-D31Q-JLB0,4.94
BW221109133962,shipped,Bol,2021-11-25T15:46:46,2021-11-25T17:25:58,111.07,BELGIUM,PXEW-6A2J-7RPB,9.06
BW221109133955,shipped,Bol,2022-09-07T00:25:56,2022-09-07T14:46:59,40.12,NETHERLANDS,Q07X-6483-6905,6.82
BW221109133883,shipped,Bva NL,2022-07-22T08:10:02,2022-07-22T12:59:42,12.87,NETHERLANDS,f9a16159-a944-4a42-f023-08da6986e7e3,
BW221109133850,shipped,Bol,2021-07-22T00:04:57,2021-07-22T20:02:11,26.1,NETHERLANDS,5G8H-XLV1-VUBP,2.89
BW221109133794,shipped,Bol,2021-10-26T19:11:53,2021-10-27T12:50:44,149.69,NETHERLANDS,ADF5-9R1M-CJDX,9.57
BW221109133689,shipped,Bol,2022-04-20T15:53:44,2022-04-20T19:25:23,63.38,NETHERLANDS,DV93-4331-FH51,6.75
BW221109133616,shipped,Bol,2022-08-11T11:18:43,2022-08-11T18:38:35,45.17,BELGIUM,LHBW-D391-3FHE,9.2
BW221109133547,shipped,Bva NL,2021-09-10T15:10:04,2021-09-10T18:15:33,117,NETHERLANDS,007cf1fe-6705-4eab-e332-08d96ca6598d,
BW221109133345,shipped,Ebay,2022-04-10T09:26:59,2022-04-10T16:46:12,236.17,GERMANY,R90V-ADFD-YTND,31.46
BW221109133310,shipped,Amazon,2021-11-28T20:29:04,2021-11-29T15:11:44,85.7,GERMANY,FY31-NXRV-84WA,7.35
BW221109133280,shipped,Ebay,2022-08-14T20:56:05,2022-08-15T13:53:26,31.94,GERMANY,3M46-BVE7-54M4,2.8
BW221109133151,shipped,Amazon,2021-09-05T11:57:25,2021-09-05T18:20:32,23.43,GERMANY,GERX-ACT5-AULD,4.01
BW221109133087,shipped,Amazon,2021-06-25T16:36:30,2021-06-25T18:30:27,41.55,AUSTRIA,DDG4-8MCW-YNX7,6.87
BW221109133086,shipped,Bva NL,2021-11-21T22:59:01,2021-11-22T14:56:19,107.64,BELGIUM,dc847bf2-5ad8-44d7-bfae-08d9a8b026ad,
BW221109133081,shipped,Kaufland,2022-05-31T11:32:01,2022-05-31T14:17:28,46.49,GERMANY,PM32-327V-MNVN,7.84
